                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.88218,                  2.126,                  1.235,                 0.2387,                0.96491,                0.41331,                0.28497,                 1.0759,                 8.8954,                0.92667,              2.858e-05,              2.858e-05,              2.858e-05
                      1,                 1.3031,                 3.2674,                 1.5047,                0.33936,                0.72515,                0.50444,                0.33452,                 1.4278,                 2.2185,                 1.0664,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      2,                 1.3493,                 2.1123,                 1.3679,                0.24037,                0.63158,                0.40565,                0.26976,                 1.5645,                 4.3535,                 1.1399,             0.00011206,             0.00011206,             0.00011206
                      3,                  1.253,                 2.0304,                 1.4424,                0.31849,                0.54386,                0.39831,                0.28833,                 1.3864,                 2.2534,                 1.0622,             0.00015252,             0.00015252,             0.00015252
                      4,                 1.0121,                 1.7784,                 1.2026,                0.25924,                0.88889,                0.50793,                0.39059,                 1.0527,                 3.7695,                0.96809,             0.00019214,             0.00019214,             0.00019214
                      5,                 1.1747,                 2.1013,                 1.2182,                0.78079,                 0.4152,                0.51338,                0.39558,                 1.1252,                  3.548,                0.95596,              0.0002309,              0.0002309,              0.0002309
                      6,                 1.9119,                 1.8593,                 2.0125,                0.15645,                0.47368,                0.30613,                 0.1416,                 1.3592,                 3.5505,                0.97381,             0.00026882,             0.00026882,             0.00026882
                      7,                 1.1132,                 1.7003,                 1.4704,                0.24396,                0.50877,                0.34742,                0.14589,                 1.3213,                 3.4844,                  1.044,             0.00030589,             0.00030589,             0.00030589
                      8,                 1.1141,                 1.4165,                 1.1726,                0.57255,                 0.5614,                0.44677,                0.24928,                 1.1971,                  3.253,                  1.187,             0.00034211,             0.00034211,             0.00034211
                      9,                0.96082,                 1.6582,                 1.2405,                0.50724,                0.43239,                0.33539,                0.24948,                 1.2532,                 2.9128,                 1.2489,             0.00037749,             0.00037749,             0.00037749
                     10,                 1.1696,                 2.4465,                 1.4905,                0.20259,                0.87572,                0.32488,                0.21887,                 1.3662,                 3.8499,                  1.155,             0.00041201,             0.00041201,             0.00041201
                     11,                 2.2824,                 2.7738,                 2.1745,                0.26113,                0.82335,                0.36318,                0.25281,                 1.2784,                 2.7216,                 1.1483,             0.00044568,             0.00044568,             0.00044568
                     12,                 1.6504,                 2.1651,                 1.8876,                  0.253,                0.81871,                0.32897,                0.25449,                 1.1659,                 14.998,                 1.2006,             0.00047851,             0.00047851,             0.00047851
                     13,                 1.0293,                 1.0147,                 1.1592,                0.27263,                0.72221,                0.30638,                0.21208,                 1.2599,                 17.264,                 1.2235,             0.00051049,             0.00051049,             0.00051049
                     14,                 0.9731,                 1.4843,                 1.1944,                0.45733,                0.37427,                0.16796,                0.09949,                 1.5486,                 3.0517,                 1.5125,             0.00054161,             0.00054161,             0.00054161
                     15,                0.71317,                 4.0892,                0.76208,                0.02431,                0.30409,                 0.0206,                0.01296,                 1.4759,                 55.657,                 2.0082,             0.00057189,             0.00057189,             0.00057189
                     16,                 1.0957,                 1.2409,                  1.234,                0.05018,                0.52047,                0.11053,                0.06396,                 1.3338,                 22.899,                 1.8583,             0.00060132,             0.00060132,             0.00060132
                     17,                 1.1262,                  1.322,                 1.0789,                0.39305,                0.39766,                0.16928,                0.08713,                 1.5739,                 13.519,                 1.5126,              0.0006299,              0.0006299,              0.0006299
