                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9731,                 1.3256,                 1.1097,                0.90408,                0.89407,                0.94777,                0.81522,                0.91036,                0.76648,                0.87058,              2.858e-05,              2.858e-05,              2.858e-05
                      1,                  0.834,                0.88657,                  1.067,                0.88205,                0.88447,                0.94449,                0.80179,                0.98036,                0.97827,                 0.8785,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      2,                 1.0134,                 1.1352,                 1.2183,                0.73438,                0.93241,                0.94099,                0.79196,                0.94915,                 1.0093,                0.86822,               0.000103,               0.000103,               0.000103
                      3,                0.92493,                0.72594,                 1.0838,                0.83176,                0.84746,                0.92701,                0.75735,                0.95111,                 1.0027,                0.87944,             0.00013385,             0.00013385,             0.00013385
                      4,                 1.1082,                0.90794,                 1.6131,                0.74114,                0.89851,                0.85898,                0.66718,                  1.022,                  1.095,                0.89985,             0.00016045,             0.00016045,             0.00016045
                      5,                 1.0361,                  1.204,                 1.0316,                  0.676,                0.91352,                0.86506,                0.66703,                 1.1112,                 1.1557,                0.91748,              0.0001828,              0.0001828,              0.0001828
                      6,                 1.2435,                 1.1858,                 1.2655,                0.68732,                0.83317,                0.80475,                0.61006,                 1.0337,                 1.0717,                0.90638,             0.00020092,             0.00020092,             0.00020092
                      7,                0.95616,                 1.1947,                 1.1206,                 0.6931,                 0.8744,                 0.8104,                0.63516,                0.96037,                 1.0752,                0.89008,             0.00021479,             0.00021479,             0.00021479
                      8,                0.92946,                0.97319,                 1.0071,                0.70734,                  0.851,                0.85977,                0.70268,                0.98799,                0.99415,                0.89523,             0.00022441,             0.00022441,             0.00022441
                      9,                0.92123,                0.93507,                 1.0895,                0.66658,                0.91335,                0.85404,                0.68977,                 1.0298,                0.95989,                0.91267,             0.00022979,             0.00022979,             0.00022979
                     10,                 1.1812,                 1.2211,                 0.9622,                0.71008,                0.82342,                0.80237,                0.61448,                 1.0938,                 0.8675,                 0.9439,             0.00023093,             0.00023093,             0.00023093
                     11,                 0.8548,                0.86451,                 1.0125,                0.68613,                0.80392,                0.79187,                0.58484,                 1.0907,                0.91675,                0.94604,             0.00022782,             0.00022782,             0.00022782
                     12,                  1.328,                 1.2983,                 1.0088,                0.71081,                0.95635,                0.87411,                0.70048,                 1.0376,                0.96829,                0.90433,             0.00022047,             0.00022047,             0.00022047
                     13,                 1.0237,                0.89099,                 1.1811,                0.78427,                0.88894,                 0.8631,                0.72781,                0.94138,                0.87819,                0.87732,             0.00020887,             0.00020887,             0.00020887
                     14,                0.79534,                0.71242,                 0.9873,                0.74609,                0.88111,                0.84988,                 0.7097,                0.97547,                0.89776,                0.88705,             0.00019303,             0.00019303,             0.00019303
                     15,                 1.0113,                  1.136,                0.89177,                0.75054,                0.88267,                0.85635,                0.71953,                0.95789,                0.93986,                0.88508,             0.00017294,             0.00017294,             0.00017294
                     16,                0.88765,                0.71074,                 1.0834,                 0.7257,                  0.912,                0.87548,                 0.7597,                0.85534,                0.96104,                 0.8668,             0.00014862,             0.00014862,             0.00014862
                     17,                0.73926,                0.63754,                0.99001,                0.73092,                0.93413,                0.88128,                0.75865,                0.85376,                0.90748,                0.86336,             0.00012004,             0.00012004,             0.00012004
                     18,                0.82716,                0.65494,                 1.0006,                0.74104,                 0.9466,                0.88442,                0.76414,                0.83699,                0.86057,                 0.8555,             8.7226e-05,             8.7226e-05,             8.7226e-05
                     19,                0.71476,                0.67478,                  1.007,                0.74092,                0.93771,                0.88397,                 0.7693,                0.82461,                 0.8461,                0.84969,             5.0165e-05,             5.0165e-05,             5.0165e-05
