                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8495,                 3.9074,                 1.7751,                0.00333,                      1,                0.01346,                 0.0035,                 2.2943,                 4.0528,                 2.1796,                  6e-05,                  6e-05,                  6e-05
                      1,                 1.7901,                 3.5316,                 1.5772,                0.00333,                      1,                0.49069,                0.20561,                 2.0209,                 3.6994,                 1.7433,             0.00013307,             0.00013307,             0.00013307
                      2,                 1.5158,                 2.8016,                 1.2669,                0.00333,                      1,                0.70224,                0.35971,                 1.6961,                  3.428,                 1.3046,             0.00019822,             0.00019822,             0.00019822
                      3,                 1.3293,                 2.1766,                 1.1394,                0.00333,                      1,                0.68391,                0.42706,                 1.4451,                 3.2334,                 1.1753,             0.00025545,             0.00025545,             0.00025545
                      4,                 1.1825,                 1.8324,                 1.0553,                0.00333,                      1,                0.66912,                0.37912,                 1.5211,                 3.2821,                 1.1778,             0.00030476,             0.00030476,             0.00030476
                      5,                  1.146,                  1.769,                 1.0759,                0.00333,                      1,                0.66816,                 0.3369,                 1.7823,                 3.3655,                 1.4397,             0.00034615,             0.00034615,             0.00034615
                      6,                 1.0706,                 1.4964,                 1.0536,                0.00333,                      1,                 0.5591,                0.29891,                 1.6845,                 3.4106,                 1.5447,             0.00037962,             0.00037962,             0.00037962
                      7,                 1.0353,                 1.4226,                 1.0411,                0.00333,                      1,                0.51236,                0.27286,                 1.5595,                 3.3852,                 1.4947,             0.00040517,             0.00040517,             0.00040517
                      8,                 1.0038,                 1.4932,                 1.0149,                0.00333,                      1,                0.50099,                0.29386,                 1.5147,                 3.3895,                 1.3441,              0.0004228,              0.0004228,              0.0004228
                      9,                 1.0507,                 1.4123,                 1.0662,                0.00333,                      1,                 0.6124,                0.37008,                 1.4984,                 3.1876,                  1.153,             0.00043251,             0.00043251,             0.00043251
                     10,                0.97154,                  1.942,                 1.0288,                0.00333,                      1,                0.66981,                0.43341,                  1.324,                 3.1926,                 1.1052,              0.0004343,              0.0004343,              0.0004343
                     11,                0.83376,                 1.7301,                0.92195,                0.00333,                      1,                0.66953,                0.47161,                 1.2199,                 3.0864,                  1.011,             0.00042817,             0.00042817,             0.00042817
                     12,                0.97348,                 1.7353,                 1.0169,                0.83427,                0.66667,                0.66917,                0.43843,                 1.3571,                 2.9259,                 1.0204,             0.00041412,             0.00041412,             0.00041412
                     13,                0.98049,                 1.6765,                  1.019,                 0.3347,                0.66667,                0.66803,                0.41754,                 1.4283,                 2.9463,                 1.0403,             0.00039215,             0.00039215,             0.00039215
                     14,                0.84825,                 1.6671,                0.98369,                0.15113,                0.66667,                0.66884,                0.41754,                 1.6031,                 3.0311,                 1.2084,             0.00036226,             0.00036226,             0.00036226
                     15,                0.79581,                 1.6499,                0.90792,                      1,                0.50888,                0.69748,                0.45135,                 1.5014,                 3.0118,                 1.1789,             0.00032445,             0.00032445,             0.00032445
                     16,                0.82653,                 1.5683,                0.94538,                      1,                0.49515,                  0.859,                 0.4878,                 1.3845,                 2.8781,                 1.1483,             0.00027872,             0.00027872,             0.00027872
                     17,                0.83936,                 1.5291,                0.90987,                      1,                0.61787,                  0.995,                0.62226,                 1.2767,                 2.5821,                  1.056,             0.00022507,             0.00022507,             0.00022507
                     18,                0.69179,                 1.4383,                0.91254,                      1,                0.61994,                0.97214,                0.60285,                 1.3529,                 2.5754,                 1.0855,              0.0001635,              0.0001635,              0.0001635
                     19,                0.69491,                 1.4044,                0.86755,                      1,                0.64368,                  0.995,                0.52523,                 1.3639,                 2.5476,                  1.106,              9.401e-05,              9.401e-05,              9.401e-05
