                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.98953,                 0.6686,                 1.1675,                0.89901,                0.90323,                0.90595,                0.43809,                 1.6696,                 1.0847,                  1.533,                 0.0003,                 0.0003,                 0.0003
                      1,                0.90729,                0.54557,                 1.0641,                0.92559,                0.90323,                0.89287,                0.47622,                 1.4984,                0.76002,                 1.3867,             0.00061386,             0.00061386,             0.00061386
                      2,                 0.9064,                0.58053,                 1.0361,                0.93265,                0.89367,                0.92364,                0.43538,                 1.5941,                0.78425,                 1.5224,             0.00092139,             0.00092139,             0.00092139
                      3,                0.95383,                0.58516,                 1.0633,                      1,                0.87059,                0.91764,                0.49287,                 1.4866,                0.84642,                 1.3948,              0.0012226,              0.0012226,              0.0012226
                      4,                0.92013,                0.55453,                 1.0377,                0.96297,                0.83888,                0.90256,                0.48291,                 1.4698,                0.75726,                 1.3778,              0.0015174,              0.0015174,              0.0015174
                      5,                  0.931,                0.59407,                 1.0366,                 0.9888,                0.83871,                0.85741,                0.50415,                 1.4076,                0.96076,                 1.3624,               0.001806,               0.001806,               0.001806
                      6,                0.96304,                0.56392,                 1.0389,                0.92794,                0.87097,                0.87299,                0.51832,                 1.4288,                0.78442,                 1.3207,              0.0018812,              0.0018812,              0.0018812
                      7,                0.93749,                0.60785,                 1.0293,                0.85482,                0.83871,                0.86308,                0.49304,                 1.5331,                0.78502,                 1.4102,              0.0018812,              0.0018812,              0.0018812
                      8,                0.94399,                0.58125,                 1.0388,                0.87075,                0.86933,                0.87587,                0.52729,                 1.3378,                0.79767,                 1.2838,              0.0018614,              0.0018614,              0.0018614
                      9,                0.92706,                0.56654,                 1.0242,                0.91557,                0.77419,                0.83232,                0.45265,                 1.4762,                 1.1354,                 1.3764,              0.0018416,              0.0018416,              0.0018416
                     10,                0.94249,                0.56617,                  1.022,                 0.8926,                0.80434,                0.84947,                0.46428,                 1.3964,                0.87504,                 1.3361,              0.0018218,              0.0018218,              0.0018218
                     11,                0.92879,                0.56835,                 1.0255,                      1,                0.83858,                0.90371,                0.54295,                 1.2435,                0.76349,                 1.2406,               0.001802,               0.001802,               0.001802
                     12,                0.88827,                0.57181,                0.98296,                0.87813,                0.77419,                0.79557,                0.52336,                 1.2704,                0.82531,                 1.3345,              0.0017822,              0.0017822,              0.0017822
                     13,                 0.8547,                0.54568,                0.98109,                0.94367,                0.70968,                0.79552,                0.47545,                 1.4181,                0.83482,                 1.4036,              0.0017624,              0.0017624,              0.0017624
                     14,                0.84699,                0.54055,                0.98128,                0.83312,                0.80527,                0.86285,                0.51502,                 1.2871,                0.81891,                 1.2892,              0.0017426,              0.0017426,              0.0017426
                     15,                0.90752,                0.55976,                   1.04,                0.87991,                0.74194,                0.85797,                  0.492,                  1.357,                0.86842,                 1.3239,              0.0017228,              0.0017228,              0.0017228
                     16,                0.83722,                0.53014,                0.99527,                 0.8359,                0.87097,                0.87681,                0.52034,                 1.3489,                0.75786,                 1.3217,               0.001703,               0.001703,               0.001703
                     17,                0.89849,                0.53037,                0.99457,                0.89797,                0.85201,                0.90443,                0.51371,                 1.4356,                0.80704,                 1.3659,              0.0016832,              0.0016832,              0.0016832
                     18,                0.85149,                0.52321,                0.98136,                0.82196,                0.89374,                0.88399,                0.47181,                 1.4263,                0.78724,                 1.3695,              0.0016634,              0.0016634,              0.0016634
                     19,                0.85957,                  0.516,                0.99633,                0.80994,                0.80645,                0.83467,                0.43671,                 1.5339,                0.88164,                 1.3833,              0.0016436,              0.0016436,              0.0016436
                     20,                0.90105,                0.54167,                 1.0004,                0.95998,                0.77389,                0.83418,                0.49689,                 1.3969,                0.92261,                 1.2833,              0.0016238,              0.0016238,              0.0016238
                     21,                0.86967,                0.51769,                0.97484,                0.88332,                0.87097,                0.89407,                0.47841,                 1.6289,                0.79757,                 1.6335,               0.001604,               0.001604,               0.001604
                     22,                0.81916,                0.49918,                0.95221,                0.92584,                0.83871,                0.89124,                0.56418,                 1.2628,                0.72036,                 1.2723,              0.0015842,              0.0015842,              0.0015842
                     23,                0.75763,                0.48043,                0.94061,                0.80877,                0.80645,                 0.8403,                0.50981,                 1.3243,                0.92453,                 1.3371,              0.0015644,              0.0015644,              0.0015644
                     24,                0.76637,                0.46257,                0.95251,                0.80635,                0.83871,                 0.8463,                 0.4981,                 1.3723,                0.86348,                 1.3446,              0.0015446,              0.0015446,              0.0015446
                     25,                0.83926,                0.51123,                 0.9849,                0.96359,                0.83871,                0.91665,                0.51725,                 1.2918,                0.73426,                 1.2999,              0.0015248,              0.0015248,              0.0015248
                     26,                0.73867,                0.47549,                0.93907,                0.96372,                0.90323,                0.90711,                0.51934,                 1.2484,                0.95631,                  1.269,               0.001505,               0.001505,               0.001505
                     27,                0.79082,                0.49295,                0.95952,                0.93238,                0.88988,                0.91167,                 0.5105,                 1.3962,                0.73883,                 1.3219,              0.0014852,              0.0014852,              0.0014852
                     28,                0.80347,                0.50814,                0.95277,                0.96247,                0.90323,                0.91686,                0.52678,                 1.2874,                0.64589,                 1.2512,              0.0014654,              0.0014654,              0.0014654
                     29,                0.75981,                0.45706,                0.93696,                0.92565,                0.87097,                0.90721,                0.56688,                 1.3249,                0.68415,                 1.3474,              0.0014456,              0.0014456,              0.0014456
                     30,                0.79132,                0.48906,                0.95433,                0.83187,                0.79826,                 0.8501,                0.54762,                 1.2146,                0.72848,                 1.2316,              0.0014258,              0.0014258,              0.0014258
                     31,                0.81063,                0.47816,                0.95374,                0.92292,                0.77253,                0.84938,                0.45888,                 1.3953,                0.86729,                 1.4044,               0.001406,               0.001406,               0.001406
                     32,                0.78123,                0.49963,                0.96684,                0.93041,                0.86276,                0.91721,                 0.5388,                 1.2986,                0.64822,                 1.3159,              0.0013862,              0.0013862,              0.0013862
                     33,                0.77754,                0.47214,                0.95124,                 0.9343,                 0.9178,                0.93475,                0.53666,                 1.3482,                0.62321,                 1.3041,              0.0013664,              0.0013664,              0.0013664
                     34,                 0.7948,                0.45368,                0.95629,                0.94748,                0.90323,                0.92712,                0.58649,                 1.2309,                0.63462,                 1.2969,              0.0013466,              0.0013466,              0.0013466
                     35,                0.75795,                0.46178,                 0.9224,                0.93268,                0.89405,                0.89834,                0.58371,                  1.154,                0.64785,                 1.1524,              0.0013268,              0.0013268,              0.0013268
                     36,                0.77345,                0.47074,                0.94056,                0.86614,                0.83503,                0.87978,                0.55894,                 1.2398,                0.69615,                 1.2761,               0.001307,               0.001307,               0.001307
                     37,                0.76332,                0.45516,                  0.945,                 0.8429,                0.90323,                0.91504,                 0.5512,                 1.3381,                0.66518,                 1.4218,              0.0012872,              0.0012872,              0.0012872
                     38,                0.76291,                0.46904,                0.92862,                0.92252,                0.87097,                0.92316,                0.56584,                 1.3938,                0.68445,                 1.3967,              0.0012674,              0.0012674,              0.0012674
                     39,                0.68726,                0.42633,                0.92726,                0.92439,                0.87097,                0.91246,                0.58933,                 1.1613,                0.61081,                 1.2212,              0.0012476,              0.0012476,              0.0012476
                     40,                0.74074,                0.43114,                0.94535,                0.92268,                0.83871,                0.85163,                0.52434,                 1.1985,                0.65544,                 1.2655,              0.0012278,              0.0012278,              0.0012278
                     41,                0.74438,                0.45449,                0.93865,                0.92516,                0.83871,                0.86984,                0.57518,                 1.1449,                 0.6217,                 1.2063,               0.001208,               0.001208,               0.001208
                     42,                0.73078,                0.43986,                0.93442,                0.92518,                0.90323,                0.91514,                0.56379,                 1.2229,                0.58292,                 1.2288,              0.0011882,              0.0011882,              0.0011882
                     43,                0.71898,                0.44609,                0.93527,                0.96389,                0.86129,                0.91832,                0.60371,                 1.1943,                0.57593,                 1.1897,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.7323,                0.43845,                0.94305,                0.96495,                0.88841,                0.91411,                0.60341,                 1.1319,                0.57251,                 1.1387,              0.0011486,              0.0011486,              0.0011486
                     45,                0.72926,                0.44297,                 0.9298,                 0.8862,                0.87097,                0.85503,                0.54608,                 1.2754,                0.61212,                 1.3422,              0.0011288,              0.0011288,              0.0011288
                     46,                0.71681,                0.43685,                0.94066,                0.96355,                0.87097,                0.93302,                 0.5599,                 1.2421,                0.61833,                 1.2586,               0.001109,               0.001109,               0.001109
                     47,                0.69008,                0.41534,                0.91682,                0.94157,                0.77419,                0.86187,                0.53934,                 1.3326,                0.67879,                 1.3986,              0.0010892,              0.0010892,              0.0010892
                     48,                0.69512,                0.41065,                0.90272,                0.92001,                0.77419,                0.82912,                0.54328,                 1.2971,                0.68635,                 1.3919,              0.0010694,              0.0010694,              0.0010694
                     49,                  0.697,                0.40812,                0.91724,                0.92812,                0.83315,                0.84431,                0.51345,                 1.2281,                0.75123,                 1.2326,              0.0010496,              0.0010496,              0.0010496
                     50,                0.66825,                0.38776,                0.91188,                0.95011,                0.80645,                 0.8157,                0.50115,                 1.1565,                0.86433,                 1.2026,              0.0010298,              0.0010298,              0.0010298
                     51,                0.70043,                0.41998,                0.91683,                0.97885,                0.80645,                0.86363,                0.51415,                 1.2328,                0.82849,                 1.2314,                0.00101,                0.00101,                0.00101
                     52,                0.72711,                0.42105,                 0.9318,                 0.9249,                0.90323,                0.90166,                0.56687,                 1.1653,                0.74003,                 1.2332,              0.0009902,              0.0009902,              0.0009902
                     53,                0.64612,                0.39097,                0.90737,                0.90378,                0.87097,                 0.9018,                0.59154,                 1.1777,                0.65831,                 1.2107,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.6989,                0.40479,                0.91178,                0.94241,                0.87097,                0.90512,                0.61283,                 1.1207,                0.57256,                 1.1808,              0.0009506,              0.0009506,              0.0009506
                     55,                0.70422,                0.41509,                0.92558,                0.94075,                0.90323,                0.93592,                0.59658,                 1.1503,                0.56856,                 1.2126,              0.0009308,              0.0009308,              0.0009308
                     56,                0.66072,                0.39446,                0.89303,                0.92134,                0.83871,                0.89497,                0.56674,                 1.1659,                  0.582,                 1.2074,               0.000911,               0.000911,               0.000911
                     57,                0.65715,                0.40069,                0.88061,                0.99421,                0.90323,                0.92613,                0.59216,                  1.093,                0.56297,                 1.1634,              0.0008912,              0.0008912,              0.0008912
                     58,                0.66335,                0.39746,                0.90053,                0.94275,                0.90323,                0.92364,                0.61127,                 1.0983,                0.53801,                 1.1531,              0.0008714,              0.0008714,              0.0008714
                     59,                0.67809,                0.39778,                0.89762,                0.95756,                0.90323,                0.90754,                0.63229,                 1.0153,                0.53894,                 1.1208,              0.0008516,              0.0008516,              0.0008516
                     60,                0.64572,                0.38115,                0.90746,                0.95602,                0.83871,                0.93441,                 0.6064,                 1.0652,                 0.5689,                 1.1373,              0.0008318,              0.0008318,              0.0008318
                     61,                0.67132,                0.40439,                0.90857,                0.95385,                0.83871,                0.92306,                0.58201,                 1.1531,                0.61891,                  1.224,               0.000812,               0.000812,               0.000812
                     62,                0.65705,                0.41898,                0.89769,                0.89624,                0.83597,                 0.8785,                0.56346,                 1.1075,                0.58494,                 1.1957,              0.0007922,              0.0007922,              0.0007922
                     63,                0.60966,                0.37199,                 0.8736,                0.89623,                0.90323,                0.91063,                0.56899,                 1.1922,                0.55032,                 1.2911,              0.0007724,              0.0007724,              0.0007724
                     64,                0.58078,                0.36255,                0.88834,                0.94708,                0.90323,                0.90644,                0.56646,                 1.2611,                0.58403,                 1.3694,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.6141,                0.37352,                0.88735,                0.99064,                0.90323,                0.91559,                0.56865,                 1.2155,                0.57335,                 1.3144,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.6355,                0.40788,                0.89934,                0.99006,                0.87097,                0.92369,                 0.5952,                 1.1297,                0.51895,                 1.2384,               0.000713,               0.000713,               0.000713
                     67,                0.63678,                0.38973,                 0.9032,                0.93327,                0.90236,                0.93225,                0.63694,                 1.0397,                0.55568,                  1.144,              0.0006932,              0.0006932,              0.0006932
                     68,                0.62925,                0.37482,                0.89235,                0.95671,                0.90323,                0.93418,                0.65019,                 1.0341,                0.50756,                 1.1648,              0.0006734,              0.0006734,              0.0006734
                     69,                0.58686,                 0.3593,                0.88333,                0.94022,                0.87097,                0.92607,                0.64397,                 1.0278,                0.51373,                 1.1935,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.6302,                0.37182,                0.89536,                0.92856,                0.87097,                 0.9332,                0.60244,                 1.0676,                0.52887,                  1.195,              0.0006338,              0.0006338,              0.0006338
                     71,                0.61555,                0.36907,                  0.905,                0.94252,                0.87097,                0.93469,                0.62582,                 1.0667,                0.55702,                  1.163,               0.000614,               0.000614,               0.000614
                     72,                 0.6212,                0.35497,                0.87108,                0.96278,                0.83459,                0.91213,                0.62673,                 1.1741,                0.58857,                 1.2976,              0.0005942,              0.0005942,              0.0005942
                     73,                0.61778,                0.37382,                 0.8813,                0.96376,                0.85821,                0.93021,                0.64106,                 1.1438,                0.61178,                 1.2013,              0.0005744,              0.0005744,              0.0005744
                     74,                0.58676,                0.34982,                0.89728,                 0.9332,                0.90323,                0.92057,                0.61251,                  1.059,                0.54469,                 1.1765,              0.0005546,              0.0005546,              0.0005546
                     75,                  0.601,                 0.3647,                0.88803,                0.92499,                0.87097,                0.90107,                0.61789,                 1.0455,                0.56761,                 1.1469,              0.0005348,              0.0005348,              0.0005348
                     76,                0.58389,                0.34312,                0.87276,                0.92469,                0.83871,                0.86473,                0.60382,                 1.1566,                0.57126,                 1.2806,               0.000515,               0.000515,               0.000515
                     77,                0.59136,                0.35133,                0.88115,                0.96522,                0.89552,                0.91576,                0.58347,                 1.1934,                0.58245,                  1.301,              0.0004952,              0.0004952,              0.0004952
                     78,                0.57858,                0.34812,                0.88015,                0.93039,                0.90323,                 0.9336,                0.58069,                 1.2453,                0.57723,                 1.3533,              0.0004754,              0.0004754,              0.0004754
                     79,                0.59562,                0.35094,                0.88248,                  0.919,                0.83871,                0.88525,                0.60274,                 1.1714,                0.58096,                 1.3473,              0.0004556,              0.0004556,              0.0004556
                     80,                0.53432,                0.33288,                0.86396,                0.92344,                0.83871,                0.88401,                0.60561,                 1.0933,                0.55321,                  1.272,              0.0004358,              0.0004358,              0.0004358
                     81,                0.55132,                0.33143,                0.87655,                0.93319,                0.90118,                0.92755,                0.63182,                 1.0466,                 0.5681,                 1.1989,               0.000416,               0.000416,               0.000416
                     82,                0.54606,                0.33176,                0.86022,                0.90176,                0.93548,                0.93635,                0.63219,                 1.0419,                 0.5494,                 1.1806,              0.0003962,              0.0003962,              0.0003962
                     83,                0.55688,                0.33086,                0.86835,                0.86796,                0.87097,                0.90075,                0.62453,                 1.0536,                0.53994,                 1.1719,              0.0003764,              0.0003764,              0.0003764
                     84,                0.52287,                  0.328,                0.86772,                0.93151,                0.93548,                0.93768,                0.62885,                 1.0602,                 0.5435,                 1.1666,              0.0003566,              0.0003566,              0.0003566
                     85,                0.57327,                0.33209,                0.87838,                0.92919,                0.90323,                0.92972,                0.61968,                  1.117,                0.58745,                  1.189,              0.0003368,              0.0003368,              0.0003368
                     86,                0.51697,                0.31207,                0.86181,                0.93375,                0.90323,                 0.9346,                0.64152,                 1.0975,                0.59824,                 1.1887,               0.000317,               0.000317,               0.000317
