                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0235,                0.81787,                 0.9585,                0.77963,                0.83162,                0.78826,                0.58998,                0.98458,                0.82946,                0.91299,              2.858e-05,              2.858e-05,              2.858e-05
                      1,                 1.0299,                0.79411,                0.92342,                0.79271,                0.85233,                0.82469,                0.61128,                0.97139,                 0.7905,                0.89626,             6.4376e-05,             6.4376e-05,             6.4376e-05
                      2,                 1.0195,                0.75565,                0.93239,                0.79679,                0.91288,                0.84921,                0.62309,                 0.9645,                0.77088,                0.88276,             9.1685e-05,             9.1685e-05,             9.1685e-05
                      3,                0.99714,                 0.7369,                0.93267,                0.77618,                0.94206,                0.85544,                0.65345,                0.94475,                0.72055,                0.88211,              0.0001105,              0.0001105,              0.0001105
                      4,                 1.0056,                0.68623,                0.93192,                0.81015,                0.92742,                0.88894,                0.68127,                0.97687,                0.71334,                0.88173,             0.00012084,             0.00012084,             0.00012084
                      5,                0.99661,                0.70429,                0.92097,                0.80184,                0.92068,                 0.8891,                 0.6844,                 0.9406,                0.71056,                0.87083,             0.00012268,             0.00012268,             0.00012268
                      6,                  1.037,                0.70504,                0.93286,                0.79721,                0.92741,                0.89077,                0.69197,                0.92246,                0.70693,                0.86989,             0.00011603,             0.00011603,             0.00011603
                      7,                0.96269,                0.70836,                0.94157,                0.79301,                0.92747,                0.88486,                0.68223,                0.92754,                 0.7126,                0.87018,              0.0001009,              0.0001009,              0.0001009
                      8,                0.96028,                0.62837,                0.88363,                0.79527,                0.93541,                0.88854,                0.67955,                0.91958,                 0.7039,                0.86779,              7.728e-05,              7.728e-05,              7.728e-05
                      9,                0.91892,                0.66153,                0.93172,                0.78741,                0.94122,                0.89073,                0.68559,                0.90766,                0.69506,                0.86481,             4.5171e-05,             4.5171e-05,             4.5171e-05
