                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.2516,                0.03226,                      1,                 0.7032,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                0.24266,                0.03226,                      1,                0.71031,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      2,                0.21813,                0.03226,                      1,                 0.7194,             5.1465e-05,             5.1465e-05,             5.1465e-05
                      3,                 0.1997,                0.03226,                      1,                0.73196,             6.6877e-05,             6.6877e-05,             6.6877e-05
                      4,                0.16932,                0.03226,                      1,                0.74668,             8.0168e-05,             8.0168e-05,             8.0168e-05
                      5,                0.13656,                0.03226,                      1,                0.75749,             9.1338e-05,             9.1338e-05,             9.1338e-05
                      6,                0.11683,                      0,                      1,                 0.7694,             0.00010039,             0.00010039,             0.00010039
                      7,                0.10526,                      0,                      1,                0.77507,             0.00010732,             0.00010732,             0.00010732
                      8,                0.08756,                      0,                      1,                0.78521,             0.00011213,             0.00011213,             0.00011213
                      9,                0.09383,                      0,                      1,                0.79011,             0.00011481,             0.00011481,             0.00011481
                     10,                0.07385,                      0,                      1,                0.79888,             0.00011538,             0.00011538,             0.00011538
                     11,                0.06274,                      0,                      1,                0.80282,             0.00011383,             0.00011383,             0.00011383
                     12,                0.05632,                      0,                      1,                0.80951,             0.00011016,             0.00011016,             0.00011016
                     13,                0.04505,                      0,                      1,                0.81228,             0.00010436,             0.00010436,             0.00010436
                     14,                0.04614,                      0,                      1,                0.81693,             9.6447e-05,             9.6447e-05,             9.6447e-05
                     15,                0.03689,                      0,                      1,                0.81824,             8.6412e-05,             8.6412e-05,             8.6412e-05
                     16,                0.03818,                      0,                      1,                 0.8211,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     17,                0.04665,                      0,                      1,                0.82211,              5.998e-05,              5.998e-05,              5.998e-05
                     18,                0.03305,                      0,                      1,                0.82269,             4.3583e-05,             4.3583e-05,             4.3583e-05
                     19,                0.02979,                      0,                      1,                0.82297,             2.5065e-05,             2.5065e-05,             2.5065e-05
