                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                      0,                      1,                      1,                      0,               7.14e-06,               7.14e-06,               7.14e-06
                      1,                      0,                      1,                      1,                      0,              2.036e-05,              2.036e-05,              2.036e-05
                      2,                      0,                      1,                      1,                      0,             3.2166e-05,             3.2166e-05,             3.2166e-05
                      3,                      0,                      1,                      1,                      0,             4.2558e-05,             4.2558e-05,             4.2558e-05
                      4,                      0,                      1,                      1,                      0,             5.1537e-05,             5.1537e-05,             5.1537e-05
                      5,                      0,                      1,                      1,                      0,             5.9101e-05,             5.9101e-05,             5.9101e-05
                      6,                      0,                      1,                      1,                      0,             6.5252e-05,             6.5252e-05,             6.5252e-05
                      7,                      0,                      1,                      1,                      0,              6.999e-05,              6.999e-05,              6.999e-05
                      8,                      0,                      1,                      1,                      0,             7.3314e-05,             7.3314e-05,             7.3314e-05
                      9,                      0,                      1,                      1,                      0,             7.5223e-05,             7.5223e-05,             7.5223e-05
                     10,                      0,                      1,                      1,                      0,              7.572e-05,              7.572e-05,              7.572e-05
                     11,                      0,                      1,                      1,                      0,             7.4802e-05,             7.4802e-05,             7.4802e-05
                     12,                      0,                      1,                      1,                      0,             7.2471e-05,             7.2471e-05,             7.2471e-05
                     13,                      0,                      1,                      1,                      0,             6.8726e-05,             6.8726e-05,             6.8726e-05
                     14,                      0,                      1,                      1,                      0,             6.3567e-05,             6.3567e-05,             6.3567e-05
                     15,                      0,                      1,                      1,                      0,             5.6995e-05,             5.6995e-05,             5.6995e-05
                     16,                      0,                      1,                      1,                      0,             4.9009e-05,             4.9009e-05,             4.9009e-05
                     17,                      0,                      1,                      1,                      0,             3.9609e-05,             3.9609e-05,             3.9609e-05
                     18,                      0,                      1,                      1,                      0,             2.8796e-05,             2.8796e-05,             2.8796e-05
                     19,                      0,                      1,                      1,                      0,             1.6568e-05,             1.6568e-05,             1.6568e-05
